seed,contrast,deltaMissionRmse,deltaMinimumSeparation,deltaTotalCost,deltaDataAirtime
16094325,response_no_emergency_minus_protected,0.230240340885108,-0.277794318443758,-0.0336457142857139,-0.353279999999996
16094326,response_no_emergency_minus_protected,0.215890146880114,-0.259595025805689,-0.0333531428571425,-0.350207999999996
16094327,response_no_emergency_minus_protected,0.234422987894359,-0.26111707596548,-0.0339382857142853,-0.356351999999996
16094328,response_no_emergency_minus_protected,0.223538305467497,-0.274629983933821,-0.0339382857142853,-0.356351999999996
16094329,response_no_emergency_minus_protected,0.231511597232383,-0.256969782177713,-0.0339382857142853,-0.356351999999996
16094330,response_no_emergency_minus_protected,0.236195685546124,-0.242495808430077,-0.0336457142857139,-0.353279999999996
16094331,response_no_emergency_minus_protected,0.226740014294982,-0.228881405808836,-0.0336457142857139,-0.353279999999996
16094332,response_no_emergency_minus_protected,0.173970212715003,-0.284827049375256,-0.025453714285714,-0.267263999999997
16094333,response_no_emergency_minus_protected,0.231509371217705,-0.243031213672834,-0.0336457142857139,-0.353279999999996
16094334,response_no_emergency_minus_protected,0.229922366166936,-0.23594820516814,-0.0333531428571425,-0.350207999999996
16094335,response_no_emergency_minus_protected,0.220159602219335,-0.283989431831751,-0.0336457142857139,-0.353279999999996
16094336,response_no_emergency_minus_protected,0.222141810441593,-0.268454204582558,-0.0336457142857139,-0.353279999999996
16094337,response_no_emergency_minus_protected,0.239508641847608,-0.229557492959481,-0.0339382857142853,-0.356351999999996
16094338,response_no_emergency_minus_protected,0.231852175067606,-0.229167136924603,-0.0339382857142853,-0.356351999999996
16094339,response_no_emergency_minus_protected,0.233249542179834,-0.256662049551058,-0.0339382857142853,-0.356351999999996
16094340,response_no_emergency_minus_protected,0.236241809393279,-0.25646210516507,-0.0339382857142853,-0.356351999999996
16094341,response_no_emergency_minus_protected,0.227635294125582,-0.262388729490098,-0.0336457142857139,-0.353279999999996
16094342,response_no_emergency_minus_protected,0.232812427568031,-0.244109338224048,-0.0339382857142853,-0.356351999999996
16094343,response_no_emergency_minus_protected,0.243992021325165,-0.241474558187003,-0.0339382857142853,-0.356351999999996
16094344,response_no_emergency_minus_protected,0.227955010945925,-0.272473469326797,-0.0336457142857139,-0.353279999999996
16094345,response_no_emergency_minus_protected,0.224419047155019,-0.267253422221789,-0.0336457142857139,-0.353279999999996
16094346,response_no_emergency_minus_protected,0.227542636323322,-0.248962913089148,-0.0339382857142853,-0.356351999999996
16094347,response_no_emergency_minus_protected,0.2152868419535,-0.261662166666531,-0.0333531428571425,-0.350207999999996
16094348,response_no_emergency_minus_protected,0.210810019767288,-0.283979958390562,-0.033060571428571,-0.347135999999996
16094349,response_no_emergency_minus_protected,0.251042381689538,-0.310234131485972,-0.0336457142857139,-0.353279999999996
16094350,response_no_emergency_minus_protected,0.221340585079999,-0.271310584812779,-0.0339382857142853,-0.356351999999996
16094301,normal_closure_minus_periodic,0.041639639611701,-0.0334718861269876,-0.102131809523808,-1.22879999999999
16094302,normal_closure_minus_periodic,0.0431101760034308,-0.0469255342185166,-0.102655999999999,-1.22879999999999
16094303,normal_closure_minus_periodic,0.0319066209593284,-0.0372842834579612,-0.104082285714284,-1.22572799999999
16094304,normal_closure_minus_periodic,0.0427359714417694,-0.0280405927349823,-0.103265523809522,-1.22572799999999
16094305,normal_closure_minus_periodic,0.0427634843003952,-0.0272145422435921,-0.100217904761903,-1.22572799999999
16094306,normal_closure_minus_periodic,0.0283833328169881,-0.024484457275695,-0.103161904761903,-1.22572799999999
16094307,normal_closure_minus_periodic,0.0363318518551365,-0.0197699225062946,-0.104222476190475,-1.22572799999999
16094308,normal_closure_minus_periodic,0.0445828143375809,-0.035653125000497,-0.104015238095237,-1.22572799999999
16094309,normal_closure_minus_periodic,0.032143187472028,-0.0574473955288612,-0.104295619047618,-1.22879999999999
16094310,normal_closure_minus_periodic,0.0439264072008062,-0.0170523235203168,-0.10383238095238,-1.22879999999999
16094311,normal_closure_minus_periodic,0.0364757719540993,-0.0274470497769843,-0.102881523809522,-1.22572799999999
16094312,normal_closure_minus_periodic,0.0361753629235321,-0.026862592960375,-0.10370438095238,-1.22572799999999
16094313,normal_closure_minus_periodic,0.032883225880751,-0.0348051107580696,-0.104283428571427,-1.22572799999999
16094314,normal_closure_minus_periodic,0.0356035174488921,-0.0333985501095266,-0.103363047619046,-1.22879999999999
16094315,normal_closure_minus_periodic,0.0396630199633933,-0.0327115990146629,-0.104246857142856,-1.22879999999999
16094316,normal_closure_minus_periodic,0.0441324263032991,-0.0441053473296253,-0.102704761904761,-1.22879999999999
16094317,normal_closure_minus_periodic,0.0359067931516027,-0.0276451537303282,-0.103015619047618,-1.22572799999999
16094318,normal_closure_minus_periodic,0.0367657870680836,-0.0254147471251738,-0.103881142857142,-1.22572799999999
16094319,normal_closure_minus_periodic,0.0365382734632927,-0.0186667196044756,-0.100687238095237,-1.22572799999999
16094320,normal_closure_minus_periodic,0.0387596319674693,-0.0325282032432537,-0.102265904761903,-1.22572799999999
16094321,normal_closure_minus_periodic,0.0463541983411079,-0.0180986108236207,-0.103210666666665,-1.22572799999999
16094322,normal_closure_minus_periodic,0.0477330464285259,-0.0400076180033866,-0.103491047619046,-1.22572799999999
16094323,normal_closure_minus_periodic,0.0456301423836058,-0.0275360647562619,-0.100711619047618,-1.22879999999999
16094324,normal_closure_minus_periodic,0.0459391818700757,-0.0271413948144921,-0.103478857142856,-1.22879999999999
16094325,normal_closure_minus_periodic,0.0370059812983082,-0.0313292593833885,-0.104307809523808,-1.22572799999999
16094326,normal_closure_minus_periodic,0.037824967287192,-0.0321288564640096,-0.101223619047618,-1.22879999999999
16094327,normal_closure_minus_periodic,0.0404698529599604,-0.0230623713755453,-0.105063619047618,-1.22572799999999
16094328,normal_closure_minus_periodic,0.0400401906426604,-0.0284263329693399,-0.104295619047618,-1.22879999999999
16094329,normal_closure_minus_periodic,0.0442839171336747,-0.0331610390235282,-0.104533333333332,-1.22879999999999
16094330,normal_closure_minus_periodic,0.0365626132136779,-0.0204386510932626,-0.104106666666665,-1.22572799999999
16094331,normal_closure_minus_periodic,0.0450279011121622,-0.0464561939688783,-0.103356952380951,-1.22879999999999
16094332,normal_closure_minus_periodic,0.0381390967115038,-0.0208147552179851,-0.103795809523808,-1.22572799999999
16094333,normal_closure_minus_periodic,0.032091980363422,-0.0285839941965143,-0.102278095238094,-1.22572799999999
16094334,normal_closure_minus_periodic,0.0331861312404755,-0.0308419209895845,-0.103228952380951,-1.22572799999999
16094335,normal_closure_minus_periodic,0.038786925995312,-0.0229182913491144,-0.103216761904761,-1.22572799999999
16094336,normal_closure_minus_periodic,0.0410323617967324,-0.0370358188860342,-0.102192761904761,-1.22572799999999
16094337,normal_closure_minus_periodic,0.0396717078211604,-0.0329327755685946,-0.103503238095237,-1.22572799999999
16094338,normal_closure_minus_periodic,0.0410757379524235,-0.042278423070141,-0.103820190476189,-1.22572799999999
16094339,normal_closure_minus_periodic,0.0400424966203322,-0.0450864867651564,-0.100735999999999,-1.22879999999999
16094340,normal_closure_minus_periodic,0.0324230696820132,-0.022324561718742,-0.103228952380951,-1.22879999999999
16094341,normal_closure_minus_periodic,0.0297711465946807,-0.0465193076074437,-0.104161523809522,-1.22572799999999
16094342,normal_closure_minus_periodic,0.0370448255698819,-0.0275675630674781,-0.102832761904761,-1.22572799999999
16094343,normal_closure_minus_periodic,0.0364970993707922,-0.021672149248338,-0.102028190476189,-1.22572799999999
16094344,normal_closure_minus_periodic,0.0438920875235694,-0.024155866672475,-0.102838857142856,-1.22572799999999
16094345,normal_closure_minus_periodic,0.0424841091705529,-0.0302716297098666,-0.104362666666665,-1.22879999999999
16094346,normal_closure_minus_periodic,0.0371851238356576,-0.0332558596816304,-0.0996571428571415,-1.22572799999999
16094347,normal_closure_minus_periodic,0.03371052020717,-0.0390844763916751,-0.104185904761903,-1.22572799999999
16094348,normal_closure_minus_periodic,0.0359154819889317,-0.0169736362384836,-0.101802666666665,-1.22572799999999
16094349,normal_closure_minus_periodic,0.0427105038036279,-0.0331151923919559,-0.103436190476189,-1.22572799999999
16094350,normal_closure_minus_periodic,0.0371192731673985,-0.031546861568104,-0.102540190476189,-1.22572799999999
