citekey,title,year,venue,doi,publisherURL,peerReviewed,literatureGroup,claimSupported,verificationStatus
walsh2002stability,Stability analysis of networked control systems,2002,IEEE Transactions on Control Systems Technology,10.1109/87.998034,https://doi.org/10.1109/87.998034,yes,G3-NetworkedControl,Network-induced delay and dropout affect closed-loop stability,VERIFIED
hespanha2007survey,A Survey of Recent Results in Networked Control Systems,2007,Proceedings of the IEEE,10.1109/JPROC.2006.887288,https://doi.org/10.1109/JPROC.2006.887288,yes,G3-NetworkedControl,Standard reference for the networked-control problem setting,VERIFIED
gatsis2014optimal,Optimal Power Management in Wireless Control Systems,2014,IEEE Transactions on Automatic Control,10.1109/TAC.2014.2305951,https://doi.org/10.1109/TAC.2014.2305951,yes,G3-NetworkedControl,Radio resource use is a first-class design variable in wireless control,VERIFIED
park2018wireless,Wireless Network Design for Control Systems: A Survey,2018,IEEE Communications Surveys and Tutorials,10.1109/COMST.2017.2780114,https://doi.org/10.1109/COMST.2017.2780114,yes,G3-NetworkedControl,Survey of wireless network design constraints for control applications,VERIFIED
ceran2019average,Average Age of Information With Hybrid ARQ Under a Resource Constraint,2019,IEEE Transactions on Wireless Communications,10.1109/TWC.2019.2899303,https://doi.org/10.1109/TWC.2019.2899303,yes,G3-NetworkedControl,ACK/NACK feedback is already used to drive AoI-optimal transmission decisions for a single source,VERIFIED
tang2022whittle,Whittle Index-Based Scheduling Policy for Minimizing the Cost of Age of Information,2022,IEEE Communications Letters,10.1109/LCOMM.2021.3125669,https://doi.org/10.1109/LCOMM.2021.3125669,yes,G3-NetworkedControl,Index-based AoI scheduling is an established centralised alternative to event triggering,VERIFIED
tahir2024collaborative,Collaborative Optimization of the Age of Information Under Partial Observability,2024,2024 IFIP Networking Conference (IFIP Networking),10.23919/IFIPNetworking62109.2024.10619823,https://doi.org/10.23919/IFIPNetworking62109.2024.10619823,yes,G3-NetworkedControl,Closest ACK-causal freshness near-neighbour: decentralized sensor agents infer receiver AoI from delayed acknowledgements; unlike this work it optimizes AoI only and has no state-innovation trigger UAV formation loop or in-flight suppression,VERIFIED-2026-08-28-full-paper-and-Crossref
onozuka2024aoi,AoI-Based Communication Traffic Reduction for Networked Railway Vehicle Control,2024,2024 IEEE International Conference on Industrial Technology (ICIT),10.1109/ICIT58233.2024.10541007,https://doi.org/10.1109/ICIT58233.2024.10541007,yes,G3-NetworkedControl,AoI-based event triggering is applied on both forward and feedback communication in railway vehicle control; it is not a distributed multi-agent UAV formation method and does not implement delayed cumulative-ACK confirmation state innovation or the in-flight semantic split,VERIFIED-2026-08-28-IEEE-Crossref-and-institutional-abstract
gupta2016survey,Survey of Important Issues in UAV Communication Networks,2016,IEEE Communications Surveys and Tutorials,10.1109/COMST.2015.2495297,https://doi.org/10.1109/COMST.2015.2495297,yes,G4-UAVComms,UAV networks face bandwidth and reliability constraints that motivate traffic reduction,VERIFIED
zeng2016wireless,Wireless communications with unmanned aerial vehicles: opportunities and challenges,2016,IEEE Communications Magazine,10.1109/MCOM.2016.7470933,https://doi.org/10.1109/MCOM.2016.7470933,yes,G4-UAVComms,UAV communication links are resource constrained,VERIFIED
mozaffari2019tutorial,A Tutorial on UAVs for Wireless Networks: Applications Challenges and Open Problems,2019,IEEE Communications Surveys and Tutorials,10.1109/COMST.2019.2902862,https://doi.org/10.1109/COMST.2019.2902862,yes,G4-UAVComms,Tutorial reference for UAV wireless networking constraints,VERIFIED
zeng2019accessing,Accessing From the Sky: A Tutorial on UAV Communications for 5G and Beyond,2019,Proceedings of the IEEE,10.1109/JPROC.2019.2952892,https://doi.org/10.1109/JPROC.2019.2952892,yes,G4-UAVComms,Airtime and spectrum are limiting factors for UAV links,VERIFIED
campion2019uavswarm,UAV swarm communication and control architectures: a review,2019,Journal of Unmanned Vehicle Systems,10.1139/juvs-2018-0009,https://doi.org/10.1139/juvs-2018-0009,yes,G4-UAVComms,Swarm communication architectures degrade with swarm size and neighbour count,VERIFIED
amodu2023aoiuav,Age of Information minimization in UAV-aided data collection for WSN and IoT applications: A systematic review,2023,Journal of Network and Computer Applications,10.1016/j.jnca.2023.103652,https://doi.org/10.1016/j.jnca.2023.103652,yes,G4-UAVComms,AoI is actively used as a design objective in UAV networking,VERIFIED
tripathi2023wiswarm,WiSwarm: Age-of-Information-based Wireless Networking for Collaborative Teams of UAVs,2023,IEEE INFOCOM,10.1109/INFOCOM53939.2023.10228860,https://doi.org/10.1109/INFOCOM53939.2023.10228860,yes,G4-UAVComms,AoI-based networking has been demonstrated on real multi-UAV hardware; primary near-neighbour on the application side and the reference for our lack of hardware,VERIFIED
tatikonda2004control,Control Under Communication Constraints,2004,IEEE Transactions on Automatic Control,10.1109/TAC.2004.831187,https://doi.org/10.1109/TAC.2004.831187,yes,G5-CoDesign,Communication constraints fundamentally limit achievable control performance,VERIFIED
nair2007feedback,Feedback Control Under Data Rate Constraints: An Overview,2007,Proceedings of the IEEE,10.1109/JPROC.2006.887294,https://doi.org/10.1109/JPROC.2006.887294,yes,G5-CoDesign,Data-rate-constrained control is an established framing for trading communication against performance,VERIFIED
molin2013optimality,On the Optimality of Certainty Equivalence for Event-Triggered Control Systems,2013,IEEE Transactions on Automatic Control,10.1109/TAC.2012.2206719,https://doi.org/10.1109/TAC.2012.2206719,yes,G5-CoDesign,Joint design of controller and triggering law is a studied problem,VERIFIED
ramesh2013design,Design of State-Based Schedulers for a Network of Control Loops,2013,IEEE Transactions on Automatic Control,10.1109/TAC.2013.2251791,https://doi.org/10.1109/TAC.2013.2251791,yes,G5-CoDesign,State-based scheduling across control loops is prior art for state-dependent transmission,VERIFIED
demirel2017tradeoff,On the Trade-Off Between Communication and Control Cost in Event-Triggered Dead-Beat Control,2017,IEEE Transactions on Automatic Control,10.1109/TAC.2016.2606590,https://doi.org/10.1109/TAC.2016.2606590,yes,G5-CoDesign,The communication-versus-control-cost trade-off is explicitly studied; supports our multi-cost-model reporting,VERIFIED
olfatisaber2006flocking,Flocking for Multi-Agent Dynamic Systems: Algorithms and Theory,2006,IEEE Transactions on Automatic Control,10.1109/TAC.2005.864190,https://doi.org/10.1109/TAC.2005.864190,yes,G6-SwarmDynamics,Consensus-style interaction laws over a neighbour graph are the standard formation mechanism,VERIFIED
lee2010geometric,Geometric tracking control of a quadrotor UAV on SE(3),2010,IEEE CDC,10.1109/CDC.2010.5717652,https://doi.org/10.1109/CDC.2010.5717652,yes,G6-SwarmDynamics,Standard cascaded/geometric quadrotor attitude-thrust control that our 6-DOF follower model follows,VERIFIED
mellinger2011minimum,Minimum snap trajectory generation and control for quadrotors,2011,IEEE ICRA,10.1109/ICRA.2011.5980409,https://doi.org/10.1109/ICRA.2011.5980409,yes,G6-SwarmDynamics,Quadrotor differential flatness and the acceleration-to-attitude reference mapping,VERIFIED
oh2015survey,A survey of multi-agent formation control,2015,Automatica,10.1016/j.automatica.2014.10.022,https://doi.org/10.1016/j.automatica.2014.10.022,yes,G6-SwarmDynamics,Taxonomy of formation control problems and the displacement-based class we use,VERIFIED
vasarhelyi2018optimized,Optimized flocking of autonomous drones in confined environments,2018,Science Robotics,10.1126/scirobotics.aat3536,https://doi.org/10.1126/scirobotics.aat3536,yes,G6-SwarmDynamics,Real multi-drone flocking is achievable and communication-limited in practice,VERIFIED
zhou2022swarm,Swarm of micro flying robots in the wild,2022,Science Robotics,10.1126/scirobotics.abm5954,https://doi.org/10.1126/scirobotics.abm5954,yes,G6-SwarmDynamics,State of the art in deployed aerial swarms; the standard our simulation-only work is measured against,VERIFIED
yin2023eventbased,Event-based formation control for multiple unmanned aerial vehicles under directed topology,2023,ISA Transactions,10.1016/j.isatra.2023.01.018,https://doi.org/10.1016/j.isatra.2023.01.018,yes,G2-EventTriggered,Event-triggered communication has already been applied to multi-UAV formation control; our contribution is not the absence of such work,VERIFIED
ji2023dynamic,Dynamic event-triggered formation control for UAVs under communication delay and outside disturbances,2023,Transactions of the Institute of Measurement and Control,10.1177/01423312221151193,https://doi.org/10.1177/01423312221151193,yes,G2-EventTriggered,Dynamic event-triggered UAV formation control under delay is established prior art,VERIFIED
chen2024distributed,Distributed formation tracking for multi-UAVs with unknown disturbances under event-triggered communication,2024,Journal of the Franklin Institute,10.1016/j.jfranklin.2024.106997,https://doi.org/10.1016/j.jfranklin.2024.106997,yes,G2-EventTriggered,Recent event-triggered multi-UAV formation tracking under disturbances,VERIFIED
yang2025fencing,Distributed event-triggered control for UAV swarm target fencing with network connectivity preservation and collision avoidance,2025,Defence Technology,10.1016/j.dt.2025.04.004,https://doi.org/10.1016/j.dt.2025.04.004,yes,G4-UAVComms,Recent event-triggered UAV swarm control addressing connectivity and collision constraints,VERIFIED
