seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition,speedScale,accelerationScale,managementRadius,DATA_NEIGHBOR_GRAPH_HASH,dataNeighborEdges,selectedPhysicalEdges,hiddenSenderConflictEdges
16076002,10,2,0.02,0.02,73530503,26238917,36142,6028830,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36142,1,2,28
16076002,10,3,0.3,0.1,73530503,25655705,36142,4775664,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36142,1,0,40
16076003,5,1,0.02,0.02,33527599,5055356,2730,4248403,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2460,1,1,0
16076003,5,2,0.02,0.02,33527599,14024214,2460,5225057,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2460,1,2,7
16076003,5,3,0.3,0.1,33527599,15737899,2460,5942233,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2460,1,2,8
16076003,10,1,0.02,0.02,68677638,12376674,40685,6339496,6.8,6,5,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36374,4,2,6
16076003,10,2,0.02,0.02,68677638,27480252,36374,4303814,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36374,4,2,53
16076003,10,3,0.3,0.1,68677638,26897040,36374,5936720,0.5,2,5,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36374,4,5,67
16076004,5,1,0.02,0.02,28548196,4533707,2730,5323008,6.8,6,3,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2510,3,3,0
16076004,5,2,0.02,0.02,28548196,12619753,2510,4652972,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2510,3,3,14
16076004,5,3,0.3,0.1,28548196,14333438,2510,4297927,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2510,3,3,15
16076004,10,1,0.02,0.02,68049712,12169395,40685,4242466,6.8,6,7,4,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36488,5,4,3
16076004,10,2,0.02,0.02,68049712,28285512,36488,5036130,1,3,7,4,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36488,5,4,73
16076004,10,3,0.3,0.1,68049712,27702300,36488,5004125,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36488,5,0,93
16076005,5,1,0.02,0.02,31880064,4906005,2730,6287153,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076005,5,2,0.02,0.02,31880064,13773344,2450,4938607,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076005,5,3,0.3,0.1,31880064,15487029,2450,5699357,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076005,10,1,0.02,0.02,63490942,11440439,40685,4984103,6.8,6,5,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36466,5,4,0
16076005,10,2,0.02,0.02,63490942,26852659,36466,4481495,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36466,5,3,73
16076005,10,3,0.3,0.1,63490942,26269447,36466,6783148,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36466,5,0,102
16076006,5,1,0.02,0.02,28580425,4598165,2730,5946219,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076006,5,2,0.02,0.02,28580425,12238133,2450,4443776,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076006,5,3,0.3,0.1,28580425,13951818,2450,7245260,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076006,10,1,0.02,0.02,62526418,11608537,40685,5331115,6.8,6,5,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36418,4,4,6
16076006,10,2,0.02,0.02,62526418,26812645,36418,5406010,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36418,4,5,72
16076006,10,3,0.3,0.1,62526418,26229433,36418,5974401,0.5,2,5,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36418,4,6,89
16076007,5,1,0.02,0.02,38122549,4808099,2730,7183141,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2484,1,1,0
16076007,5,2,0.02,0.02,38122549,12556891,2484,3821848,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2484,1,2,12
16076007,5,3,0.3,0.1,38122549,14270576,2484,6631490,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2484,1,2,14
16076007,10,1,0.02,0.02,75039329,11468607,40685,6035068,6.8,6,8,4,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36591,6,6,12
16076007,10,2,0.02,0.02,75039329,27856087,36591,5502855,1,3,8,4,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36591,6,5,64
16076007,10,3,0.3,0.1,75039329,27272875,36591,6170095,0.5,2,8,4,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36591,6,7,82
16076008,5,1,0.02,0.02,34220392,4343796,2730,5346303,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076008,5,2,0.02,0.02,34220392,13164473,2450,6205591,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076008,5,3,0.3,0.1,34220392,14878158,2450,4836583,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076008,10,1,0.02,0.02,66037347,12338957,40685,5920610,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36355,2,2,0
16076008,10,2,0.02,0.02,66037347,28152688,36355,4310418,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36355,2,2,50
16076008,10,3,0.3,0.1,66037347,27569476,36355,5492786,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36355,2,0,70
16076009,5,1,0.02,0.02,34352969,4608950,2730,5125579,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2460,1,1,0
16076009,5,2,0.02,0.02,34352969,11751061,2460,4236246,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2460,1,1,12
16076009,5,3,0.3,0.1,34352969,13464746,2460,4934750,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2460,1,1,13
16076009,10,1,0.02,0.02,64069892,11549766,40685,4356211,6.8,6,5,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36528,4,4,6
16076009,10,2,0.02,0.02,64069892,27949854,36528,3812389,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36528,4,4,76
16076009,10,3,0.3,0.1,64069892,27366642,36528,4667994,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36528,4,0,97
16076010,5,1,0.02,0.02,33954645,4860875,2730,5505997,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076010,5,2,0.02,0.02,33954645,12387507,2450,5989804,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076010,5,3,0.3,0.1,33954645,14101192,2450,5634277,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076010,10,1,0.02,0.02,68539931,12101260,40685,4723344,6.8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36293,3,3,0
16076010,10,2,0.02,0.02,68539931,27644732,36293,5427295,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36293,3,3,65
16076010,10,3,0.3,0.1,68539931,27061520,36293,5763566,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36293,3,0,93
16076011,5,1,0.02,0.02,33858372,4668329,2730,5141595,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076011,5,2,0.02,0.02,33858372,13044265,2450,5399519,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076011,5,3,0.3,0.1,33858372,14757950,2450,6114089,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076011,10,1,0.02,0.02,71375442,11480844,40685,5945980,6.8,6,4,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36506,4,3,0
16076011,10,2,0.02,0.02,71375442,23593347,36506,6174418,0.5,2,4,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36506,4,3,67
16076011,10,3,0.3,0.1,71375442,23010135,36506,5132135,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36506,4,0,85
16076012,5,1,0.02,0.02,32621844,4292419,2730,5260801,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2496,1,1,0
16076012,5,2,0.02,0.02,32621844,13594867,2496,6721923,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2496,1,1,10
16076012,5,3,0.3,0.1,32621844,15308552,2496,5355613,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2496,1,1,12
16076012,10,1,0.02,0.02,70846225,11470983,40685,5730919,6.8,6,7,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36565,5,4,2
16076012,10,2,0.02,0.02,70846225,24729631,36565,5589007,0.5,2,6,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36565,5,2,84
16076012,10,3,0.3,0.1,70846225,24146419,36565,4978996,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36565,5,0,114
16076013,5,1,0.02,0.02,34138660,4180332,2730,7026954,6.8,6,3,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2500,2,2,6
16076013,5,2,0.02,0.02,34138660,12695037,2500,4205323,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2500,2,2,22
16076013,5,3,0.3,0.1,34138660,14408722,2500,5000428,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2500,2,0,29
16076013,10,1,0.02,0.02,66682081,11531279,40685,4022162,6.8,6,9,4,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36694,7,6,2
16076013,10,2,0.02,0.02,66682081,30519622,36694,5440143,1,3,9,4,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36694,7,6,100
16076013,10,3,0.3,0.1,66682081,29936410,36694,7228003,0.25,1,9,4,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36694,7,7,127
16076014,5,1,0.02,0.02,35254495,4314856,2730,5469261,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2460,1,1,0
16076014,5,2,0.02,0.02,35254495,13163132,2460,4555867,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2460,1,1,7
16076014,5,3,0.3,0.1,35254495,14876817,2460,5291623,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2460,1,3,10
16076014,10,1,0.02,0.02,67930182,11930335,40685,6065420,6.8,6,4,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36425,3,2,1
16076014,10,2,0.02,0.02,67930182,26979105,36425,5775922,1,3,4,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36425,3,2,61
16076014,10,3,0.3,0.1,67930182,26395893,36425,6588763,0.5,2,4,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36425,3,3,78
16076015,5,1,0.02,0.02,35702233,4161759,2730,5990626,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076015,5,2,0.02,0.02,35702233,11272977,2450,5140005,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076015,5,3,0.3,0.1,35702233,12986662,2450,4798254,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076015,10,1,0.02,0.02,60635367,12020727,40685,6169110,6.8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36271,3,3,0
16076015,10,2,0.02,0.02,60635367,27423247,36271,6393505,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36271,3,3,65
16076015,10,3,0.3,0.1,60635367,26840035,36271,4844957,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36271,3,0,77
16076016,5,1,0.02,0.02,39704342,4825966,2730,4801729,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2506,2,1,0
16076016,5,2,0.02,0.02,39704342,13894624,2506,6225739,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2506,2,1,14
16076016,5,3,0.3,0.1,39704342,15608309,2506,4889211,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2506,2,2,18
16076016,10,1,0.02,0.02,71048769,11876071,40685,5889403,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36120,1,1,0
16076016,10,2,0.02,0.02,71048769,27124033,36120,5096061,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36120,1,1,25
16076016,10,3,0.3,0.1,71048769,26540821,36120,5225463,0.25,1,1,2,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36120,1,2,30
16076017,5,1,0.02,0.02,36565129,4838978,2730,4451155,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076017,5,2,0.02,0.02,36565129,13727083,2450,6555159,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076017,5,3,0.3,0.1,36565129,15440768,2450,6257708,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076017,10,1,0.02,0.02,71146284,12071101,40685,6271263,6.8,6,3,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36392,3,3,0
16076017,10,2,0.02,0.02,71146284,26366384,36392,6033324,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36392,3,3,39
16076017,10,3,0.3,0.1,71146284,25783172,36392,6750009,0.5,2,3,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36392,3,3,53
16076018,5,1,0.02,0.02,35218808,4243482,2730,6029144,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2490,1,1,0
16076018,5,2,0.02,0.02,35218808,12193402,2490,6605765,4,5,1,2,1,1,0,0,1,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2490,1,4,6
16076018,5,3,0.3,0.1,35218808,13907087,2490,5237605,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2490,1,1,10
16076018,10,1,0.02,0.02,73248506,12081253,40685,4645090,6.8,6,5,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36565,5,3,0
16076018,10,2,0.02,0.02,73248506,26951767,36565,5590992,1,3,5,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36565,5,4,88
16076018,10,3,0.3,0.1,73248506,26368555,36565,4893086,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36565,5,0,122
16076019,5,1,0.02,0.02,34395927,4694866,2730,4461963,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2460,1,1,0
16076019,5,2,0.02,0.02,34395927,13584584,2460,4486620,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2460,1,1,8
16076019,5,3,0.3,0.1,34395927,15298269,2460,6202703,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2460,1,2,8
16076019,10,1,0.02,0.02,68472014,11965426,40685,6086622,6.8,6,9,4,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36536,6,5,18
16076019,10,2,0.02,0.02,68472014,25383240,36536,4927054,1,3,9,4,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36536,6,5,74
16076019,10,3,0.3,0.1,68472014,24800028,36536,5204693,0.25,1,9,4,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36536,6,7,90
16076020,5,1,0.02,0.02,33083059,4166276,2730,5115587,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2460,1,1,0
16076020,5,2,0.02,0.02,33083059,12654372,2460,5165083,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2460,1,1,10
16076020,5,3,0.3,0.1,33083059,14368057,2460,6841721,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2460,1,1,14
16076020,10,1,0.02,0.02,66861198,11889513,40685,4401199,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36131,1,1,0
16076020,10,2,0.02,0.02,66861198,25771489,36131,7209908,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36131,1,1,25
16076020,10,3,0.3,0.1,66861198,25188277,36131,3916937,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36131,1,0,34
16076021,5,1,0.02,0.02,33363120,4726398,2730,5351648,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076021,5,2,0.02,0.02,33363120,14087751,2450,5141334,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076021,5,3,0.3,0.1,33363120,15801436,2450,4784215,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076021,10,1,0.02,0.02,67730881,11531733,40685,4779130,6.8,6,6,4,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36484,4,3,6
16076021,10,2,0.02,0.02,67730881,26242820,36484,5460886,1,3,6,4,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36484,4,3,57
16076021,10,3,0.3,0.1,67730881,25659608,36484,5685224,0.25,1,6,4,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36484,4,4,73
16076022,5,1,0.02,0.02,36020777,4798847,2730,5246740,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076022,5,2,0.02,0.02,36020777,13872591,2450,4537569,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076022,5,3,0.3,0.1,36020777,15586276,2450,6279856,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076022,10,1,0.02,0.02,63786837,12032229,40685,5890895,6.8,6,6,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36528,4,2,12
16076022,10,2,0.02,0.02,63786837,26726049,36528,4834051,1,3,7,4,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36528,4,3,73
16076022,10,3,0.3,0.1,63786837,26142837,36528,5246009,0.25,1,7,4,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36528,4,5,91
16076023,5,1,0.02,0.02,36509585,4727890,2730,5600917,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2466,1,0,0
16076023,5,2,0.02,0.02,36509585,15486053,2466,5291136,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2466,1,2,7
16076023,5,3,0.3,0.1,36509585,17199738,2466,6021252,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2466,1,2,8
16076023,10,1,0.02,0.02,73734002,12003672,40685,6007215,6.8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36348,3,2,0
16076023,10,2,0.02,0.02,73734002,26653468,36348,5293096,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36348,3,3,69
16076023,10,3,0.3,0.1,73734002,26070256,36348,5399864,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36348,3,0,94
16076024,5,1,0.02,0.02,35308088,4422042,2730,5473594,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0
16076024,5,2,0.02,0.02,35308088,12804356,2450,5897625,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0
16076024,5,3,0.3,0.1,35308088,14518041,2450,4549225,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0
16076024,10,1,0.02,0.02,68342546,11706490,40685,4949455,6.8,6,3,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36179,2,2,6
16076024,10,2,0.02,0.02,68342546,27348586,36179,5248354,2,4,3,3,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36179,2,4,44
16076024,10,3,0.3,0.1,68342546,26765374,36179,4739824,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36179,2,5,49
16076025,5,1,0.02,0.02,37331300,4274174,2730,6064298,6.8,6,8,4,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2606,6,4,8
16076025,5,2,0.02,0.02,37331300,12458398,2606,5731204,1,3,9,4,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2606,6,6,19
16076025,5,3,0.3,0.1,37331300,14172083,2606,5959519,0.25,1,9,4,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2606,6,6,23
16076025,10,1,0.02,0.02,69190365,12353555,40685,4959398,6.8,6,6,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36473,4,3,2
16076025,10,2,0.02,0.02,69190365,28603548,36473,4575868,1,3,6,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36473,4,2,70
