armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanPrimaryFormationRMSE_m,stdPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,stdEvaluationCost025PerChannel_Hz,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanEventAllocationRatio,meanControlViolationRatio,scenarioId,scenario,frontierFamily
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,1,0,0,0,0.144441553200168,0,0.165495619808174,0,50,0,49.9666666666667,0,1,NaN,S2,Formation-switching,Periodic
PV15,Predictive-VoI,Predictive-VoI,voiPrice,1,NaN,NaN,1,0,0,0,2.00000289569214,0,2.05848012157254,0,0,0,0,0,0,NaN,S2,Formation-switching,Predictive-VoI
PV14,Predictive-VoI,Predictive-VoI,voiPrice,0.01,NaN,NaN,1,0,0,1,1.14548292346474,0,1.13931411729092,0,0.209090909090909,0,0.188333333333333,0,1.22554347826087,NaN,S2,Formation-switching,Predictive-VoI
PV13,Predictive-VoI,Predictive-VoI,voiPrice,0.003,NaN,NaN,1,0,0,1,0.760646924565551,0,0.730890290896243,0,0.445454545454545,0,0.443333333333333,0,1.38201530612245,NaN,S2,Formation-switching,Predictive-VoI
PV12,Predictive-VoI,Predictive-VoI,voiPrice,0.001,NaN,NaN,1,0,0,0,0.513471298902898,0,0.500287017709656,0,0.848863636363636,0,0.93,0,1.06392235609103,NaN,S2,Formation-switching,Predictive-VoI
PV11,Predictive-VoI,Predictive-VoI,voiPrice,0.0003,NaN,NaN,1,0,0,0,0.327303355224258,0,0.32563310779092,0,1.61477272727273,0,1.86333333333333,0,1.14760731878958,NaN,S2,Formation-switching,Predictive-VoI
PV10,Predictive-VoI,Predictive-VoI,voiPrice,0.0001,NaN,NaN,1,0,0,0,0.239747360728616,0,0.244722889533022,0,2.81818181818182,0,3.38333333333333,0,1.08114919354839,NaN,S2,Formation-switching,Predictive-VoI
PV09,Predictive-VoI,Predictive-VoI,voiPrice,3e-05,NaN,NaN,1,0,0,0,0.188700472648341,0,0.201776426576227,0,5.26931818181818,0,6.285,0,1.11138667241751,NaN,S2,Formation-switching,Predictive-VoI
PV08,Predictive-VoI,Predictive-VoI,voiPrice,1e-05,NaN,NaN,1,0,0,0,0.165051556507945,0,0.181880849874434,0,9.70227272727273,0,11.27,0,1.05741977043804,NaN,S2,Formation-switching,Predictive-VoI
PV07,Predictive-VoI,Predictive-VoI,voiPrice,3e-06,NaN,NaN,1,0,0,0,0.153073938718028,0,0.172460023174252,0,17.4375,0,19.8441666666667,0,1.02939068100358,NaN,S2,Formation-switching,Predictive-VoI
PV06,Predictive-VoI,Predictive-VoI,voiPrice,1e-06,NaN,NaN,1,0,0,0,0.147988696977128,0,0.168377423835745,0,26.9375,0,29.27,0,0.927610208816705,NaN,S2,Formation-switching,Predictive-VoI
PV05,Predictive-VoI,Predictive-VoI,voiPrice,3e-07,NaN,NaN,1,0,0,0,0.147189295002272,0,0.167674819223712,0,31.3522727272727,0,33.7308333333333,0,0.93314606741573,NaN,S2,Formation-switching,Predictive-VoI
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,1,0,0,0,0.394515536822455,0,0.3947075811221,0,1.25,0,1.21666666666667,0,1,NaN,S6,Dynamic-excitation,Periodic
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,1,0,0,0,0.263245939153998,0,0.271858905578969,0,2,0,1.96666666666667,0,1,NaN,S6,Dynamic-excitation,Periodic
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,1,0,0,0,0.231332384967036,0,0.24457707816422,0,2.5,0,2.46666666666667,0,1,NaN,S6,Dynamic-excitation,Periodic
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,1,0,0,0,0.182030205641384,0,0.188949209199838,0,3.34090909090909,0,3.3,0,1.00272108843537,NaN,S6,Dynamic-excitation,Periodic
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,1,0,0,0,0.148727712393194,0,0.1599143223946,0,5,0,4.96666666666667,0,1,NaN,S6,Dynamic-excitation,Periodic
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,1,0,0,0,0.125512457908657,0,0.13334935279428,0,6.25909090909091,0,6.21666666666667,0,0.998547567175018,NaN,S6,Dynamic-excitation,Periodic
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,1,0,0,0,0.101919141404402,0,0.111607261075812,0,10,0,9.96666666666667,0,1,NaN,S6,Dynamic-excitation,Periodic
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,1,0,0,0,0.0929999072700507,0,0.10239951090476,0,12.5,0,12.4666666666667,0,1,NaN,S6,Dynamic-excitation,Periodic
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,1,0,0,0,0.0870382887455715,0,0.0968832342915543,0,16.6636363636364,0,16.6333333333333,0,1.00143207855974,NaN,S6,Dynamic-excitation,Periodic
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,1,0,0,0,0.0789183361142625,0,0.0898587255744545,0,25,0,24.9666666666667,0,1,NaN,S6,Dynamic-excitation,Periodic
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,1,0,0,0,0.0726907865512582,0,0.0845466332991381,0,50,0,49.9666666666667,0,1,NaN,S6,Dynamic-excitation,Periodic
PV15,Predictive-VoI,Predictive-VoI,voiPrice,1,NaN,NaN,1,0,0,0,2.03781337357607,0,2.17819818525175,0,0,0,0,0,0,NaN,S6,Dynamic-excitation,Predictive-VoI
PV14,Predictive-VoI,Predictive-VoI,voiPrice,0.01,NaN,NaN,1,0,0,1,1.25099550936112,0,1.29767572977464,0,0.143181818181818,0,0.143333333333333,0,0.851190476190476,NaN,S6,Dynamic-excitation,Predictive-VoI
PV13,Predictive-VoI,Predictive-VoI,voiPrice,0.003,NaN,NaN,1,0,0,0,0.781084684670672,0,0.767838992442959,0,0.418181818181818,0,0.423333333333333,0,1.07608695652174,NaN,S6,Dynamic-excitation,Predictive-VoI
PV12,Predictive-VoI,Predictive-VoI,voiPrice,0.001,NaN,NaN,1,0,0,0,0.513201368242205,0,0.505814338525399,0,0.864772727272727,0,0.941666666666667,0,1.05880420499343,NaN,S6,Dynamic-excitation,Predictive-VoI
PV11,Predictive-VoI,Predictive-VoI,voiPrice,0.0003,NaN,NaN,1,0,0,0,0.322231637976174,0,0.31675071439657,0,1.65,0,1.88916666666667,0,1.15151515151515,NaN,S6,Dynamic-excitation,Predictive-VoI
PV10,Predictive-VoI,Predictive-VoI,voiPrice,0.0001,NaN,NaN,1,0,0,0,0.213434286998721,0,0.212210831422343,0,2.83863636363636,0,3.3975,0,1.14931945556445,NaN,S6,Dynamic-excitation,Predictive-VoI
PV09,Predictive-VoI,Predictive-VoI,voiPrice,3e-05,NaN,NaN,1,0,0,0,0.146455894369842,0,0.149724429587569,0,5.28977272727273,0,6.28916666666667,0,1.17798066595059,NaN,S6,Dynamic-excitation,Predictive-VoI
PV08,Predictive-VoI,Predictive-VoI,voiPrice,1e-05,NaN,NaN,1,0,0,0,0.110155477294954,0,0.116281269437004,0,9.72045454545455,0,11.2833333333333,0,1.15285246668225,NaN,S6,Dynamic-excitation,Predictive-VoI
PV07,Predictive-VoI,Predictive-VoI,voiPrice,3e-06,NaN,NaN,1,0,0,0,0.0894585034427609,0,0.0982723208990559,0,17.4363636363636,0,19.8425,0,1.1165602189781,NaN,S6,Dynamic-excitation,Predictive-VoI
PV06,Predictive-VoI,Predictive-VoI,voiPrice,1e-06,NaN,NaN,1,0,0,0,0.0800491996264825,0,0.0907634690461434,0,27.2704545454545,0,29.5108333333333,0,1.03156513042754,NaN,S6,Dynamic-excitation,Predictive-VoI
PV05,Predictive-VoI,Predictive-VoI,voiPrice,3e-07,NaN,NaN,1,0,0,0,0.0782987524841919,0,0.0892781962511535,0,32.2545454545455,0,34.3925,0,1.00828812006764,NaN,S6,Dynamic-excitation,Predictive-VoI
PV04,Predictive-VoI,Predictive-VoI,voiPrice,1e-07,NaN,NaN,1,0,0,0,0.0782853630143073,0,0.0892682847980216,0,32.5261363636364,0,34.9291666666667,0,1.00313559025958,NaN,S6,Dynamic-excitation,Predictive-VoI
