N,geometryCondition,networkCondition,bindingReason,nRuns,admissionRate,meanSelectedHorizonSec,terminalCertificationRate,meanControlAttempts,meanControlBytes,meanRetryClaims,falseValidEdgeFrames,scheduledCollisionFrames
5,mobile-limited-low,directed-response-blackout,admissible,50,1,3.548,0.36,585.68,15937.76,255.36,0,0
5,mobile-limited-low,iid-occupancy15,admissible,50,1,3.548,1,105.22,2921.12,10.78,0,0
5,mobile-limited-low,joint-control-iid5,admissible,50,1,3.548,1,87.56,2432.92,1.66,0,0
5,mobile-limited-low,response-iid5,admissible,50,1,3.548,1,85.98,2388.72,1.02,0,0
5,mobile-limited-low,zero,admissible,50,1,3.548,1,83.74,2327.24,0,0,0
5,static-wide-low,claim-iid5,admissible,50,1,6.8,1,18.66,516.32,0.22,0,0
5,static-wide-low,directed-response-blackout,admissible,50,1,6.8,0.36,557.84,15042.48,255.36,0,0
5,static-wide-low,iid-occupancy15,admissible,50,1,6.8,1,24.5,674.72,3.32,0,0
5,static-wide-low,joint-control-iid5,admissible,50,1,6.8,1,18.96,524.36,0.34,0,0
5,static-wide-low,response-iid5,admissible,50,1,6.8,1,18.46,510.84,0.14,0,0
5,static-wide-low,zero,admissible,50,1,6.8,1,18.12,501.72,0,0,0
10,mobile-limited-high,claim-iid5,admissible,6,1,1.16666666666667,1,1356.83333333333,38638.3333333333,27.3333333333333,0,0
10,mobile-limited-high,claim-iid5,horizon-shorter-than-renewal-slack,17,0,0.397058823529412,0,0,0,0,0,0
10,mobile-limited-high,claim-iid5,selector-issued-no-horizon,27,0,0,0,0,0,0,0,0
10,mobile-limited-high,directed-response-blackout,admissible,6,1,1.16666666666667,0,2070.66666666667,57978,399,0,0
10,mobile-limited-high,directed-response-blackout,horizon-shorter-than-renewal-slack,17,0,0.397058823529412,0,0,0,0,0,0
10,mobile-limited-high,directed-response-blackout,selector-issued-no-horizon,27,0,0,0,0,0,0,0,0
10,mobile-limited-high,iid-occupancy15,admissible,6,1,1.16666666666667,1,1958,55981.3333333333,306.333333333333,0,0
10,mobile-limited-high,iid-occupancy15,horizon-shorter-than-renewal-slack,17,0,0.397058823529412,0,0,0,0,0,0
10,mobile-limited-high,iid-occupancy15,selector-issued-no-horizon,27,0,0,0,0,0,0,0,0
10,mobile-limited-high,joint-control-iid5,admissible,6,1,1.16666666666667,1,1437,40936.6666666667,55.5,0,0
10,mobile-limited-high,joint-control-iid5,horizon-shorter-than-renewal-slack,17,0,0.397058823529412,0,0,0,0,0,0
10,mobile-limited-high,joint-control-iid5,selector-issued-no-horizon,27,0,0,0,0,0,0,0,0
10,mobile-limited-high,response-iid5,admissible,6,1,1.16666666666667,1,1354.33333333333,38489.3333333333,28.3333333333333,0,0
10,mobile-limited-high,response-iid5,horizon-shorter-than-renewal-slack,17,0,0.397058823529412,0,0,0,0,0,0
10,mobile-limited-high,response-iid5,selector-issued-no-horizon,27,0,0,0,0,0,0,0,0
10,mobile-limited-high,zero,admissible,6,1,1.16666666666667,1,1261.33333333333,35871.3333333333,0,0,0
10,mobile-limited-high,zero,horizon-shorter-than-renewal-slack,17,0,0.397058823529412,0,0,0,0,0,0
10,mobile-limited-high,zero,selector-issued-no-horizon,27,0,0,0,0,0,0,0,0
10,mobile-limited-low,claim-iid5,admissible,39,1,1.1025641025641,1,1554.33333333333,43727.641025641,33.3846153846154,0,0
10,mobile-limited-low,claim-iid5,horizon-shorter-than-renewal-slack,11,0,0.477272727272727,0,0,0,0,0,0
10,mobile-limited-low,directed-response-blackout,admissible,39,1,1.1025641025641,0,2196.30769230769,61669.7435897436,399,0,0
10,mobile-limited-low,directed-response-blackout,horizon-shorter-than-renewal-slack,11,0,0.477272727272727,0,0,0,0,0,0
10,mobile-limited-low,iid-occupancy15,admissible,39,1,1.1025641025641,1,2267.05128205128,63827.4871794872,377.410256410256,0,0
10,mobile-limited-low,iid-occupancy15,horizon-shorter-than-renewal-slack,11,0,0.477272727272727,0,0,0,0,0,0
10,mobile-limited-low,joint-control-iid5,admissible,39,1,1.1025641025641,1,1636.97435897436,46032.0512820513,65.0512820512821,0,0
10,mobile-limited-low,joint-control-iid5,horizon-shorter-than-renewal-slack,11,0,0.477272727272727,0,0,0,0,0,0
10,mobile-limited-low,response-iid5,admissible,39,1,1.1025641025641,1,1530.58974358974,42991.9487179487,32.3076923076923,0,0
10,mobile-limited-low,response-iid5,horizon-shorter-than-renewal-slack,11,0,0.477272727272727,0,0,0,0,0,0
10,mobile-limited-low,zero,admissible,39,1,1.1025641025641,1,1434.05128205128,40316.8717948718,0,0,0
10,mobile-limited-low,zero,horizon-shorter-than-renewal-slack,11,0,0.477272727272727,0,0,0,0,0,0
10,static-wide-low,claim-iid5,admissible,50,1,6.8,1,109,2980.68,3.24,0,0
10,static-wide-low,directed-response-blackout,admissible,50,1,6.8,0,1230.28,32910.48,399,0,0
10,static-wide-low,iid-occupancy15,admissible,50,1,6.8,1,183.84,4999.68,33.84,0,0
10,static-wide-low,joint-control-iid5,admissible,50,1,6.8,1,117.78,3216.08,6.26,0,0
10,static-wide-low,response-iid5,admissible,50,1,6.8,1,106.7,2917.32,3.06,0,0
10,static-wide-low,zero,admissible,50,1,6.8,1,96.64,2648.44,0,0,0
